name,price,sex,height,color,location,markings,weight,foaldate,registrations,disciplines,temperament
,1250,Gelding,14.282,Sorrel,"Kingsley, Michigan","White on belly, four socks, blaze",,11-Jan,,,3.184
,8000,Mare,14.984,Bay,"Luthersville, Georgia","Star, white pastern and coronet",,8-May,ACPS - American Connemara Pony Society (),Dressage (Prospect) Field Hunter (Trained) Eventing (Prospect),3.184
Charming Margarita,1500,Mare,13.985,Sorrel,"Stockton, Missouri","Blaze, Left Hind Stocking",,9-May,MFTHBA- Missouri Fox Trotting Horse Breed Association (09-98276),Youth/4-H Horse (Trained) Gaited (Trained) Trail Horse (Rank Not Applicable),3.188
Monaco IHS,8500,Mare,15.997,Brown,"Sussex, Wisconsin",,,12-May,USEF - United States Equestrian Federation () BWP (),Breeding (Rank Not Applicable) Eventing (Prospect) Jumper (Prospect),3.189
Skyye,2900,Gelding,15.998,Other,"La Salle, Michigan",,1400 pounds,6-May,APHA - American Paint Horse Association (868099),Western Pleasure (Prospect),3.191
Ruby,8500,Mare,14.286,Sorrel,"Otsego, Minnesota","Blaze, Sock",,8-Jan,AQHA - American Quarter Horse Association (),Western Pleasure (Competed or Shown) Horsemanship (Trained) Showmanship (Trained) Youth/4-H Horse (Trained) Western Riding (Prospect),3.192
Mindy,1800,Mare,13.087,Roan,"Lake Pleasant, New York",Black legs - Strawberry Roan...some spots,,Jul-00,,Jumper (Prospect) Barrel Racing (Prospect) Youth/4-H Horse (Trained) Western Riding (Trained) Lesson Horse (Trained),3.194
RK TOPSHELFCHAMPAGNE,900,Stallion,14.287,Pinto,"Kingman, Indiana","Sorrel, White, black forelock",,7-Jun,APHA - American Paint Horse Association (911106),Ranch Horse (Prospect) Breeding (Prospect) Trail Horse (Prospect),3.196
Bella,2500,Mare,14.216,Black,"Glenmoore, Pennsylvania",star,,3-Apr,,Beginner/Family  Field Hunter ,3.199
Driften Easy Lola,4000,Mare,15.005,Grey,"Oakdale, Nebraska",,1100 pounds,7-May,AQHA - American Quarter Horse Association (4989799),Team Roping (Prospect) Reined Cow Horse (Prospect) Calf Roping (Prospect) Ranch Horse (Prospect),3.199
Dixies Award,1800,Mare,14.308,Buckskin,"Abilene, Texas","Black points; ears, mane & tail and short white footies",,Apr-92,AQHA - American Quarter Horse Association (3129953),Western Pleasure (Rank Not Applicable) Trail Horse (Rank Not Applicable) Working Cow Horse (Trained) Reined Cow Horse (Trained),3.2
True Jazz,6500,Mare,16.1,Grey,"Farmville, Virginia",,1200 pounds,5-May,,Field Hunter  Hunter  Equitation  Jumper ,3.202
Boone,1200,Gelding,15.291,Bay,"Brillion, Wisconsin",,,Jan-00,,Trail Horse (Trained),3.203
Taas,22900,Gelding,16.183,Black,"sonoma, California",none,1200 pounds,6-May,FHANA - Friesian Horse Association of North America (),Dressage (Champion) Driving (Champion) English Pleasure (Champion) Beginner/Family (Trained) Country Pleasure (Trained),3.203
Black Beauty,500,Mare,15.007,Black,"Lafayette, Alabama","Star, Front sock",1000 pounds,5-Jan,,Barrel Racing (Competed or Shown) Breeding (Trained) Trail Horse (Champion) Pole Bending (Competed or Shown) Brood Mare (Trained),3.204
Linus,4500,Gelding,15.116,Black,"Harrisburg, Pennsylvania",,,6-May,,Hunter (Prospect) Eventing (Prospect) Field Hunter (Prospect) Dressage (Prospect),3.207
Winsome VanNuland,25000,Gelding,16.084,Bay,"Walworth, New York",,,3-Jun,,Dressage (Competed or Shown) Hunter (Competed or Shown),3.21
Blues Good Un (Ruben),8500,Gelding,14.113,Bay,"Lockhart, Texas",Has some Roan color to his rump.,860 pounds,6-Apr,AQHA - American Quarter Horse Association (),Reining (Trained) Competitive Trail Competitions (Trained) Working Cow Horse (Prospect) Calf Roping (Prospect) Beginner/Family ,3.211
Okjen's Phillippe,4000,Gelding,13.093,Bay,"Pascoag, Rhode Island",,,6-Mar,,Dressage (Trained) Hunter (Trained) Trail Horse (Trained) Youth/4-H Horse (Prospect),3.215
UF Smoke Signal,12500,Gelding,17.081,Grey,"Pensacola, Florida",,,9-Feb,AQHA - American Quarter Horse Association (5263363),Hunter Under Saddle (Competed or Shown) Hunter (Trained) Jumper (Prospect) Eventing (Prospect),3.215
,8500,Gelding,15.292,Bay,"Manassas, Virginia",,,4-Jan,,Dressage (Prospect) Eventing (Prospect) Competitive Trail Competitions (Trained) Trail Horse (Trained) Field Hunter (Prospect),3.219
MOON,3600,Gelding,15.114,Black,"Platteville, Colorado","Blaze, swirl on left belly, patch on right belly, left front/ right rear stocking, cornet left leg",1100 pounds,5-Jan,"APHA - American Paint Horse Association (845,090)",Ranch Horse (Prospect) Cutting (Prospect) Reining (Prospect),3.221
Flash - Art I Flashy,20000,Gelding,16.014,Chestnut,"Argyle, Texas","blaze, four white socks",,1-Jan,AQHA - American Quarter Horse Association (),Equitation (Competed or Shown) Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown),3.221
Simply Red,2500,Mare,15.291,Chestnut,"Elora, Ontario, Canada",,,8-Jan,,Hunter Under Saddle (Prospect) Dressage (Prospect),3.222
Teninas Chrome,4800,Gelding,15.08,Pinto,"Mechanicsville, Maryland",sorrel/white pain loud color,,3-Jan,APHA - American Paint Horse Association (),Ranch Horse (Competed or Shown) Ranch Sorting (Competed or Shown) Trail Horse (Trained),3.224
HEZ EMERALD GREEN,25000,Gelding,16.19,Bay,"reading, Pennsylvania","star, coronet",1200 pounds,7-Jun,AQHA - American Quarter Horse Association (),Hunter (Champion) Hunter Under Saddle (Competed or Shown),3.224
Maverick,2500,Gelding,15.316,Grey,"Georgia, Vermont",,,1-Jan,,Trail Horse ,3.227
HB Evening Star,4000,Mare,14.316,Grey,"Vankleek Hill, Ontario, Canada",,,May-00,AHA - Arabian Horse Association (0040644),Breeding (Prospect) Dressage (Champion) Competitive Trail Competitions (Prospect) Halter (Competed or Shown) English Pleasure (Competed or Shown),3.229
Lady Godiva,1175,Mare,12.018,Silver Dapple,"Ridgely, Maryland","Blaze, 4 White Socks",,12-Sep,RMHA - Rocky Mountain Horse Association Official (),Gaited (Trained),3.23
Wind Shadows Reinvestment,2500,Mare,14.303,Black,"Nampa, Idaho",none,,9-Apr,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (),Trail Horse (Rank Not Applicable),3.231
Bartenders Three Bars,15000,Gelding,15.304,Sorrel,"Wellsburg, Iowa",Paint,1300 pounds,3-May,"APHA - American Paint Horse Association (754,260)",Barrel Racing (Competed or Shown) Team Roping (Champion),3.232
Gone West,8500,Gelding,15.301,Palomino,"Temecula, California",,,1-Apr,IAHA - Half-Arabian Horse Association (),Western Pleasure (Champion) Western Pleasure (Show) (Champion) Youth/4-H Horse (Trained) Dressage (Prospect) Equitation (Prospect),3.241
Shots Flying Zorro,2500,Gelding,15.31,Black,"Gladewater, Texas",Mostly black minimal white tobiano,,3-Apr,APHA - American Paint Horse Association (),Youth/4-H Horse  Cowboy Mounted Shooting  Ranch Sorting  Working Cow Horse  Ranch Horse ,3.242
Geschenk,5000,Gelding,16.213,Black,"Smyrna, Georgia",,,Jun-95,,Hunter (Competed or Shown) Jumper (Champion),3.243
8 Chimes - aka: Goose,10000,Gelding,16.095,Grey,"Argyle, Texas",,1300 pounds,Jan-98,JC - Jockey Club (),Hunter (Competed or Shown) Jumper (Competed or Shown),3.248
Lovely Promise,1200,Mare,16.108,Bay,"Canterbury, Connecticut","Three socks, star, and snip.",,6-Apr,JC - Jockey Club (),Hunter (Prospect) Equitation (Prospect) Dressage (Prospect) Brood Mare (Prospect) Breeding (Prospect),3.248
MLC Belfast Irish Eclipse,2000,Stallion,14.19,Roan,"Bracebridge, Ontario, Canada","Bay roan, few hairs of white on forehead",350 pounds,12-May,CCPS (),Driving (Prospect) Jumper (Prospect) Hunter (Prospect) Eventing (Prospect) Dressage (Prospect),3.249
Gwen,1500,Mare,13.984,Black,"Alta, Iowa",,800 pounds,May-97,,Barrel Racing (Competed or Shown) English Pleasure (Competed or Shown) Jumper (Competed or Shown) Pole Bending (Competed or Shown) Trail Horse ,3.25
*Y.S. Bonzai,4500,Mare,14.004,Pinto,"Mansfield, Ontario, Canada",Bay Tobiano,,12-Apr,"ABC, ICHO and CSI Eligible (Pending)",Breeding (Prospect) Dressage (Prospect) Eventing (Prospect) Hunter Under Saddle (Prospect) Youth/4-H Horse (Prospect),3.251
Sister,850,Mare,15.999,Bay,"Milton, Ontario, Canada",,,1-Jan,,English Pleasure ,3.251
Silver Moon Shadow,1500,Gelding,14.986,Grey,"Myersville, Maryland",,,7-May,IALHA - International Andalusian & Lusitano Horse Association (),,3.252
Pixie Dust,0,Mare,11.18,Pinto,"Plymouth, New Hampshire",black and white,,3-Jan,,Hunter (Competed or Shown),3.256
KM Somekinda Stormy,1500,Mare,14.31,Bay,"Mancos, Colorado","star, two hind socks",1000 pounds,8-Apr,,,3.258
Classical Gold Lace,700,Mare,5.105,Palomino,"McPherson, Kansas","star,strip, and snip",1000 pounds,8-May,AQHA - American Quarter Horse Association (5133124),Not Applicable ,3.26
Yellas Cool Cache ( Fancy ),5000,Mare,15.083,Palomino,"Augusta, Georgia",Star; Right Fore Half Pastern White,,7-Jan,AQHA - American Quarter Horse Association (5011402) PHBA - Palomino Horse Breeders of America (85251),Dressage (Trained),3.261
Sargeant,9500,Gelding,17.016,Bay,"Boyne City , Michigan","LH coronet, star",1300 pounds,Mar-97,JC - Jockey Club (),Eventing (Competed or Shown) Pole Bending (Competed or Shown) Barrel Racing (Competed or Shown) Hunter Under Saddle (Competed or Shown) Dressage (Competed or Shown),3.261
Ladys Dashing Cruiser,8500,Gelding,15.301,Black,"Montague, Michigan",Tobiano,1200 pounds,2-Apr,,Ranch Horse (Trained) Ranch Sorting (Competed or Shown) Reining (Trained) Trail Horse (Trained) Cowboy Mounted Shooting (Prospect),3.263
Cookie Bar's Delight,5000,Mare,16,Pinto,"Monck's Corner, South Carolina",,1100 pounds,4-Jan,APHA - American Paint Horse Association (),English Pleasure ,3.264
Rex,4000,Gelding,15.989,Bay,"riverside / norco, California",,,May-96,,Beginner/Family (Trained) Lesson Horse (Trained) Trail Horse (Trained),3.266
Cool Zippin Lee Robber,2500,Gelding,15.195,Bay,"Cunningham, Kentucky","left front and hind sock, blaze",,9-May,AQHA - American Quarter Horse Association (5193055),Trail Horse ,3.268
Max Da Pretty Player,1650,Gelding,15.206,Sorrel,"Corning , California",,,9-Mar,AQHA - American Quarter Horse Association (),Western Riding  Ranch Sorting  Country Pleasure  Halter (Prospect) Ranch Horse (Prospect),3.27
LEGEND,15000,Gelding,14.986,Buckskin,"Adair, Oklahoma",All black points,1000 pounds,4-May,,Horsemanship (Trained) Gaited (Trained) Trail Horse (Trained),3.273
Mason,3800,Gelding,14.285,Chestnut,"Raymond, New Hampshire",,950 pounds,4-Jan,,Hunter Under Saddle (Prospect) Trail Horse (Trained),3.274
Modern Art,50000,Mare,15.992,Black,"Davidsonville, Maryland",,,5-Apr,AQHA - American Quarter Horse Association (X0646957),Jumper (Competed or Shown),3.276
Boomer,1400,Gelding,16.008,Palomino,"Cedar Rapids area, Iowa",,,4-Apr,,Trail Horse (Trained) Youth/4-H Horse (Prospect) Team Roping (Prospect),3.276
Decks Invested,4500,Gelding,14.981,Sorrel,"Alexandria, South Dakota","white blaze, three white socks",,10-Apr,,Halter (Prospect) Western Pleasure (Show) (Prospect) Western Pleasure (Prospect) English Pleasure (Prospect) Hunter Under Saddle (Prospect),3.277
Doc,2000,Gelding,15.198,Bay,"East Liverpool, Ohio",,1200 pounds,2-May,,Trail Horse ,3.277
Georgia Darlin,2000,Mare,15.21,Sorrel,"Snow Camp , North Carolina","Blaze, Socks",,2-Jan,"AQHA - American Quarter Horse Association (4210630) APHA - American Paint Horse Association (705,669)",Trail Horse (Champion) Competitive Trail Competitions (Competed or Shown) Cowboy Mounted Shooting (Prospect) Youth/4-H Horse (Prospect) Brood Mare (Prospect),3.28
Intoxicating Miss,650,Mare,15.28,Sorrel,"Edmond, Oklahoma","Blaze, 2 socks",,7-Feb,AQHA - American Quarter Horse Association (),Brood Mare (Prospect) Youth/4-H Horse (Prospect) Trail Horse (Prospect) Competitive Trail Competitions (Prospect) Beginner/Family (Prospect),3.282
TIMES ARE SWEET,5000,Mare,14.109,Buckskin,"Murrieta, California",TRI-COLORED,750 pounds,12-Feb,APHA - American Paint Horse Association (1021837),Halter (Prospect),3.284
Obvious Painted Miss AKA Missy,3000,Mare,15.318,Palomino,"Plainville, Massachusetts","Wide Blaze, Left Hind Sock, Right Blue Eye",1100 pounds,Jan-00,"APHA - American Paint Horse Association (574,537)",Beginner/Family (Trained) English Pleasure (Trained) Hunter (Competed or Shown) Jumper (Competed or Shown),3.284
Troy,3000,Gelding,15.988,Sorrel,"Easton, Pennsylvania","white mask, hind right white stocking",,5-Apr,"APHA - American Paint Horse Association (824,811)",Lesson Horse (Trained) Jumper (Competed or Shown) Equitation (Trained) English Pleasure (Competed or Shown) Hunter (Competed or Shown),3.284
Shelby,2900,Gelding,16.007,Bay,"Pittsford, Vermont",none,,3-May,JC - Jockey Club (),Dressage (Competed or Shown) Eventing (Competed or Shown) Trail Horse (Trained) Youth/4-H Horse (Prospect),3.285
Mi Rock Da Pocos,2000,Gelding,14.295,Dun,"Kempner, Texas",star,1000 pounds,4-May,AQHA - American Quarter Horse Association (4767297) NFQHA - National Foundation Quarter Horse Association (2603) NADHR (),Western Pleasure (Trained) English Pleasure (Trained) Trail Horse (Trained) Youth/4-H Horse (Trained),3.286
Rocstar,2000,Gelding,12.982,Palomino,"Medina, Tennessee",paint markings and whitie on all 4 legs,900 pounds,4-Jan,,Gaited (Prospect) Trail Horse (Champion) Pole Bending (Champion) Barrel Racing (Champion),3.288
Baby,1200,Mare,14.998,Sorrel,"Bonifay, Florida",,,7-Mar,AQHA - American Quarter Horse Association (5084572),Barrel Racing  Ranch Horse ,3.288
,1995,Gelding,14.212,Grey,"Wantage, New Jersey",,,7-Jul,AQHA - American Quarter Horse Association (5034486),Team Sorting (Prospect) Team Penning (Prospect) Ranch Horse (Prospect) Cutting (Prospect) Calf Roping (Prospect),3.291
little dreams come true selena,2500,Mare,7.013,Pinto,"new2 haven, Vermont",blk/wht,150 pounds,12-Aug,,Halter ,3.297
Sprite,16500,Gelding,13.088,Grey,"Bondville, Vermont",,,3-May,,Trail Horse (Trained) Equitation (Champion) Dressage (Prospect) Jumper (Champion) Hunter (Champion),3.298
Ginger,750,Mare,14.317,Palomino,"KING, North Carolina","STAR BLAZE ON FACE, 2 WHITE SOCKS",900 pounds,7-Jan,,Western Pleasure (Prospect) Beginner/Family (Prospect) Youth/4-H Horse (Prospect) Western Riding (Prospect) Not Applicable ,3.299
Cayenne,800,Mare,15.104,Chestnut,"Powhatan, Virginia",,,Jan-00,,,3.3
ThatsMy Investment,2500,Gelding,16.087,Sorrel,"McHenry, Maryland","Strip, snip, left front sock",1500 pounds,8-Apr,AQHA - American Quarter Horse Association (),English Pleasure (Prospect) Western Pleasure (Prospect) Trail Horse (Trained) Western Riding (Prospect),3.3
Imperial Mischief,2500,Stallion,15.015,Bay,"Wheatland, California",Tobiano,1000 pounds,2-Aug,PtHA - Pinto Horse Association of America (116072),Western Pleasure (Rank Not Applicable) Trail Horse (Prospect) Breeding (Rank Not Applicable) Ranch Horse (Rank Not Applicable),3.301
,600,Gelding,16.198,Grey,"Chesapeake, Virginia",,,Feb-95,,English Pleasure (Champion) Jumper (Trained) Dressage (Trained) Trail Horse (Trained),3.302
Netta's Legacy Aklohoma R,25000,Mare,16.195,Bay,"Kingsport, Tennessee",,,Jan-00,Belgian Warmblood Association (BEL-W-193211-BWP),Dressage (Champion) Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown) Jumper (Competed or Shown) Youth/4-H Horse (Competed or Shown),3.307
Batman,2500,Gelding,15.01,Brown,"Valley Center, California",,900 pounds,8-Feb,,Hunter (Prospect) Trail Horse (Prospect) Barrel Racing (Prospect) Drill Team (Prospect),3.308
Socks,750,Gelding,12.189,Roan,"Lafayette, Indiana",,,May-96,,Beginner/Family ,3.309
Lil Star Zan,3000,Mare,15.108,Buckskin,"Salem, Alabama",white coronet bands on back feet,,5-Apr,AQHA - American Quarter Horse Association (4697906),,3.31
Mo Money Honey Athena,7500,Mare,16.185,Grey,"Placerville, California",,,5-Feb,JC - Jockey Club (),Hunter (Competed or Shown) Equitation (Competed or Shown) Jumper (Competed or Shown) Hunter Under Saddle (Competed or Shown) Lesson Horse (Trained),3.316
Mia,1500,Mare,14.283,Sorrel,"Milton, New Hampshire",,,6-Mar,APHA - American Paint Horse Association (),Beginner/Family (Trained) Lesson Horse (Trained) Competitive Trail Competitions (Prospect) Country Pleasure (Prospect),3.318
Joe Cougar,7500,Gelding,14.289,Sorrel,"Cochrane, Wisconsin","star, right fore coronet,left hind ankle ,right hind sock",1100 pounds,9-May,AQHA - American Quarter Horse Association (5180268),Reined Cow Horse (Prospect) Ranch Horse (Prospect) Cutting (Trained),3.321
Oliver,25500,Gelding,16.32,Bay,"San Marcos, California",,1100 pounds,1-Jul,,Dressage (Competed or Shown),3.321
Artifactually,3000,Gelding,16.317,Bay,"Limestone, New York",small star,1200 pounds,9-May,AQHA - American Quarter Horse Association (5213753),Jumper (Prospect) Hunter Under Saddle (Prospect) English Pleasure (Prospect) Dressage (Prospect),3.322
Genuine Blue Wolf,10000,Gelding,15.998,Roan,"Bayard , Nebraska",,1200 pounds,5-May,AQHA - American Quarter Horse Association (4666269),Trail Horse (Trained) Team Roping (Trained) Ranch Horse (Trained) Cowboy Mounted Shooting (Prospect) Beginner/Family (Trained),3.326
Majical Mystery,2850,Gelding,16.099,Bay,"Belgrade, Maine","3 legs, star",1100 pounds,4-Jun,,Jumper (Competed or Shown) Equitation (Competed or Shown) Eventing (Competed or Shown) Field Hunter (Prospect) Youth/4-H Horse (Rank Not Applicable),3.328
Kennedy,4900,Gelding,16.185,Grey,"Powder Springs, Georgia",,,6-Jul,,Hunter  Jumper  Dressage ,3.328
I;m a lil sassy girl,2200,Mare,15.2,Sorrel,"Fort Erie, Ontario, Canada","star, white on upper lip, dark spot in forehead,left fore half pastern with partial white and left hind sock",,May-00,AQHA - American Quarter Horse Association (4124047),Brood Mare  Western Pleasure (Trained) Horsemanship (Trained),3.33
lookin for cowgirls aka gunner,5500,Gelding,15.086,Buckskin,"rochester, Massachusetts",,,1-Apr,AQHA - American Quarter Horse Association (),Beginner/Family (Trained) Western Pleasure (Trained) Trail Horse (Trained),3.331
Teddy,5000,Gelding,16.288,Palomino,"Upper Marlboro, Maryland","3 white socks, blaze",1000 pounds,3-Jan,,Gaited (Trained) Trail Horse (Trained) Competitive Trail Competitions (Prospect) Endurance Riding (Prospect),3.331
Vistosa 2004,8500,Mare,16.006,Bay,"Gordonsville, Virginia",star,,4-Apr,IALHA - International Andalusian & Lusitano Horse Association (),Lesson Horse (Trained) Dressage (Competed or Shown) Field Hunter (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown),3.333
Royal Flush,10000,Gelding,16.187,Bay,"Parker, Colorado",Snip,1300 pounds,6-Jan,,Field Hunter (Prospect) Hunter (Prospect) Jumper (Competed or Shown) Dressage (Competed or Shown) Eventing (Competed or Shown),3.336
Cinder,9000,Mare,15.984,Bay,"sherwood, Oregon",light muzzle,1200 pounds,1-Aug,,English Pleasure (Competed or Shown) Jumper (Trained) Beginner/Family (Trained) Dressage (Competed or Shown) Hunter (Competed or Shown),3.337
Butterfly Kisses,18000,Mare,13.088,Grey,"Atlanta, Georgia",,,4-Jan,,Hunter (Competed or Shown),3.34
Skys Blue Dune,25000,Gelding,16.199,Bay,"Green Bay Area, Wisconsin",,,2-Jul,AQHA - American Quarter Horse Association (X0614509),Horsemanship  Equitation  Youth/4-H Horse  Showmanship  Hunter Under Saddle ,3.342
Java,18000,Mare,16.117,Bay,"Costa Mesa, California",,,8-Jan,,Hunter (Trained) Jumper (Trained) Equitation (Prospect) Eventing (Prospect),3.345
ISLE INVEST MY CHIPS,5500,Gelding,16.006,Bay,"Red Wing, Minnesota",,,7-Mar,AQHA - American Quarter Horse Association (4946558),Western Pleasure (Show) (Prospect) Trail Horse (Trained) Hunter Under Saddle (Prospect) Dressage (Prospect),3.347
Blondie,250,Mare,16.217,Sorrel,"Eagle, Colorado",,2000 pounds,Apr-93,,Companion Only (Rank Not Applicable) Not Applicable ,3.347
Jerry,150,Gelding,15.194,Bay,"Hanover, Massachusetts",,,Jan-99,,Beginner/Family (Trained) Hunter (Trained) Equitation (Trained) Lesson Horse (Trained) Youth/4-H Horse (Trained),3.349
DF Silver Jasimin,2000,Mare,14.207,Bay,"Loudon, Tennessee",blaze with 3 socks,800 pounds,Jun-97,AHA - Arabian Horse Association (0550212),Dressage  Hunter (Prospect) Brood Mare (Rank Not Applicable) Trail Horse (Rank Not Applicable),3.35
Rosie,500,Mare,13.005,Bay,"Lyles, Tennessee",,,9-Jan,,Trail Horse (Prospect),3.353
OH SO KODIAK,6500,Gelding,14.319,Grey,"New Braunfels, Texas",,1000 pounds,7-Mar,AQHA - American Quarter Horse Association (5115814),,3.353
cba Perseus,4900,Gelding,14.992,Bay,"Houston, Texas","tiny star, white spot on belly",1000 pounds,7-Apr,IAHA - Half-Arabian Horse Association (365649),Western Pleasure (Trained) Halter (Competed or Shown) Hunter Under Saddle (Trained) Dressage (Competed or Shown) Trail Horse (Competed or Shown),3.355
McLintoc,15000,Gelding,14.993,Bay,"Crawford, Colorado","Blaze, Two Hind Socks",1050 pounds,8-Apr,AQHA - American Quarter Horse Association (5147029),Beginner/Family (Trained) Reined Cow Horse (Competed or Shown) Youth/4-H Horse (Trained) Trail Horse (Trained) Horsemanship (Trained),3.356
Crusaders PrinceMcCue,3000,Gelding,14.181,Other,"Tularosa, New Mexico","Bay and White, Stockings, Bald face",860 pounds,8-Mar,APHA - American Paint Horse Association (),Western Riding (Rank Not Applicable) English Pleasure (Rank Not Applicable),3.359
KID ROCKSTAR,3750,Stallion,15.014,Sorrel,"Williston , Florida",3 white stockings and blaze.,,12-May,AQHA - American Quarter Horse Association (pending),Western Pleasure (Show) (Prospect) Halter (Prospect),3.363
Sadie,2500,Mare,16.117,Palomino,"Hudson, Florida",,1550 pounds,6-Mar,,Draft (Rank Not Applicable) Western Pleasure (Rank Not Applicable) English Pleasure (Rank Not Applicable) Trail Horse (Rank Not Applicable) Driving (Rank Not Applicable),3.363
Serenity,2000,Mare,14.287,Silver Dapple,"Waynesboro, Virginia",,,6-Apr,RMHA - Rocky Mountain Horse Association Official () KMSH (),Breeding ,3.365
Cody's Rebel Scout,10000,Gelding,15.196,Bay,"Plainville, Massachusetts","blaze, 4 white socks",,2-May,APHA - American Paint Horse Association (784732),Eventing (Competed or Shown) Dressage (Competed or Shown) Beginner/Family (Rank Not Applicable) Lesson Horse (Rank Not Applicable),3.366
Norman,5800,Gelding,15.186,Sorrel,"Hale, Michigan",3 white socks and a blaze,,5-Apr,AQHA - American Quarter Horse Association (4916759),Halter (Competed or Shown) Horsemanship (Competed or Shown) Western Pleasure (Show) (Competed or Shown) Trail Horse (Competed or Shown) Equitation (Competed or Shown),3.369
Ada (Pocket Full of Sunshine),7500,Mare,15.995,Palomino,"Olathe, Kansas","2 White Front; Star, strip, snip",,5-Mar,AQHA - American Quarter Horse Association (4688173),Hunter (Trained) Eventing (Prospect) Jumper (Trained),3.37
Big Lil Sensation,10000,Gelding,16.298,Sorrel,"High Point, North Carolina",,1200 pounds,10-Jan,APHA - American Paint Horse Association (989865),Hunter Under Saddle (Prospect) Jumper (Prospect) Field Hunter (Prospect) Eventing (Prospect),3.371
Topaz,6000,Gelding,15.301,Grulla,"Campton, New Hampshire",stripe and sockings,,May-96,,Western Pleasure  Jumper  English Pleasure  Dressage  Eventing ,3.372
Shesa Silk Sandy,900,Mare,15.112,Palomino,"Southside, Tennessee",Right Hind Stocking,,May-99,AQHA - American Quarter Horse Association (4003652) FQHA (),Breeding (Trained) Brood Mare (Trained) Trail Horse (Prospect) Ranch Horse (Prospect) Ranch Sorting (Prospect),3.374
One More Cocktail,4000,Gelding,16.005,Sorrel,"Waller, Texas",White blaze face,,5-Feb,AQHA - American Quarter Horse Association (4892626),Country Pleasure (Prospect) Dressage (Prospect) English Pleasure (Prospect) Lesson Horse (Prospect) Jumper (Prospect),3.374
Macho Man,2400,Gelding,15.217,Black,"Wartrace, Tennessee",White In mane and tail,,3-Jun,,Trail Horse (Trained),3.375
Blacklord Sirocco,4000,Gelding,14.984,Black,"Cullman, Alabama",None,1000 pounds,Mar-99,AHA - Arabian Horse Association (0561543),Trail Horse  English Pleasure  Western Pleasure (Show)  Halter  Barrel Racing ,3.376
,6500,Mare,14.109,Palomino,"Schoharie, New York",,800 pounds,5-Apr,AHR - American Haflinger Registry (),Youth/4-H Horse (Prospect) Driving (Trained) Eventing (Prospect) Dressage (Competed or Shown),3.377
COLONEL JIGGEROY,2200,Stallion,14.21,Palomino,"Westby, Wisconsin",LEOPARD,900 pounds,11-May,ApHC - Appaloosa Horse Club (671948),Cutting (Prospect) Breeding (Prospect) Working Cow Horse (Prospect) Reining (Prospect) Team Roping (Prospect),3.378
Answer's Baby Grey,4000,Gelding,15.287,Grey,"Brocton , Illinois",Flea-Bitten,,4-Jan,AQHA - American Quarter Horse Association (),Western Riding (Trained) Eventing (Competed or Shown) English Pleasure (Champion) Hunter (Competed or Shown) Youth/4-H Horse (Champion),3.378
Contador,40000,Gelding,16.315,Black,"Louisville, Kentucky",,,8-Jan,,Dressage (Trained) Hunter (Trained) Field Hunter (Prospect) Jumper (Trained),3.378
I Art Tobe In Movies,6500,Mare,15.989,Chestnut,"hampshire, Illinois",star strip,,8-Jan,,Hunter Under Saddle (Trained) Western Pleasure (Show) (Prospect) English Pleasure (Trained) Youth/4-H Horse (Prospect),3.38
Roberto's Storm,1600,Gelding,15.01,Bay,"Jacksonville, North Carolina",No white markings,1050 pounds,4-Mar,JC - Jockey Club (H14428),Dressage (Trained) English Pleasure (Competed or Shown) Western Riding (Trained) Jumper (Prospect) Youth/4-H Horse (Rank Not Applicable),3.384
Little Kings Bay Mint Julep,1200,Mare,4.999,Bay,"Columbia, Kentucky",none,,13-May,AMHA - American Miniature Horse Association () AMHR - American Miniature Horse Registry (),,3.386
Eastern Pleasure,1000,Mare,14.015,Sorrel,"Boone , Iowa",,,6-Apr,POA - Pony of the Americas (T-48071),Western Pleasure (Trained) Halter (Prospect),3.386
Left of Center,0,Gelding,14.986,Bay,"oxford, Pennsylvania",White on face and legs,700 pounds,11-Jan,,Beginner/Family  Dressage  Eventing  Hunter  Trail Horse ,3.387
DonSaree,20000,Gelding,15.281,Bay,"Clarksville, Tennessee","star, snip, socks",1100 pounds,Apr-00,,Trail Horse (Trained) Lesson Horse (Trained) Youth/4-H Horse (Trained) Dressage (Champion),3.388
Goldi,450,Mare,13.195,Palomino,"Paragould, Arkansas","blaze, snip, stockings",900 pounds,8-Jan,,Driving (Trained) Longe-Line (Trained) Trail Horse (Trained) Barrel Racing (Prospect) Beginner/Family (Trained),3.393
Winter Hill Tomahawk,8000,Gelding,17.086,Grey,"Hebron, Connecticut",,,8-Apr,Percheron Horse Assoc. (304630),Beginner/Family (Prospect) Dressage (Prospect) English Pleasure (Trained) Western Pleasure (Trained) Driving (Trained),3.396
DENWAYS HIDDEN ASSET,2500,Mare,15.22,Dun,"Mount Hope, Kansas",Red and white dun Tobiano,1000 pounds,11-Apr,APHA - American Paint Horse Association (997167) PtHA - Pinto Horse Association of America (142609) NSBA - National Snaffle Bit Association (997167),Trail Horse (Trained) Youth/4-H Horse (Trained) Dressage (Trained) Hunter Under Saddle (Trained) Western Pleasure (Trained),3.398
